Fecha,Gasolina regular
ene/2000,202645.2
feb/2000,205530.96
mar/2000,229499.56
abr/2000,210680.4
may/2000,208164.34
jun/2000,195088.74
jul/2000,204556.77
ago/2000,218388.51
sep/2000,213906.96
oct/2000,213606.65
nov/2000,209227.48
dic/2000,230020.7
ene/2001,164547.35
feb/2001,174838.81
mar/2001,201992.65
abr/2001,198683.39
may/2001,182504.09
jun/2001,201379.48
jul/2001,214980.24
ago/2001,204646.77
sep/2001,188292.35
oct/2001,225240.95
nov/2001,210324.95
dic/2001,223209.95
ene/2002,200309.85
feb/2002,183119.34
mar/2002,212711.71
abr/2002,204765.62
may/2002,201083.51
jun/2002,187629.42
jul/2002,201692.64
ago/2002,205240.77
sep/2002,177614.8
oct/2002,203097.24
nov/2002,207629.81
dic/2002,199619.27
ene/2003,193713.62
feb/2003,184354.61
mar/2003,201443.37
abr/2003,219004.31
may/2003,200407.18
jun/2003,168327.72
jul/2003,174317.57
ago/2003,171665.05
sep/2003,174757.95
oct/2003,209314.45
nov/2003,168510.0
dic/2003,196081.99
ene/2004,203975.57
feb/2004,180290.24
mar/2004,206455.62
abr/2004,182379.92
may/2004,160741.9
jun/2004,164782.5
jul/2004,182642.41
ago/2004,207432.8
sep/2004,194240.55
oct/2004,200323.53
nov/2004,214509.65
dic/2004,236733.03
ene/2005,209901.6
feb/2005,198775.61
mar/2005,231358.58
abr/2005,225644.89
may/2005,187048.26
jun/2005,202161.79
jul/2005,213821.77
ago/2005,212696.38
sep/2005,196776.87
oct/2005,192270.24
nov/2005,185251.12
dic/2005,241035.13
ene/2006,211152.72
feb/2006,200551.4
mar/2006,233082.86
abr/2006,223479.45
may/2006,222710.9
jun/2006,196511.22
jul/2006,210255.7
ago/2006,211202.14
sep/2006,204369.99
oct/2006,203061.39
nov/2006,205541.91
dic/2006,233936.83
ene/2007,216560.79
feb/2007,204991.91
mar/2007,239019.91
abr/2007,217536.23
may/2007,224400.73
jun/2007,217473.91
jul/2007,219874.23
ago/2007,236565.57
sep/2007,207241.84
oct/2007,224750.77
nov/2007,218116.79
dic/2007,252394.11
ene/2008,213645.39
feb/2008,215873.67
mar/2008,233761.07
abr/2008,233687.28
may/2008,236635.85
jun/2008,200656.57
jul/2008,228640.21
ago/2008,227499.0
sep/2008,218214.64
oct/2008,238955.44
nov/2008,238626.16
dic/2008,298245.47
ene/2009,273494.16
feb/2009,254667.7
mar/2009,290343.28
abr/2009,290887.08
may/2009,276970.67
jun/2009,252551.99
jul/2009,283142.05
ago/2009,267830.84
sep/2009,248994.42
oct/2009,269008.52
nov/2009,212149.91
dic/2009,296805.29
ene/2010,243341.49
feb/2010,248207.93
mar/2010,320985.41
abr/2010,254872.61
may/2010,238903.31
jun/2010,251896.39
jul/2010,278700.49
ago/2010,268917.79
sep/2010,266975.25
oct/2010,275031.21
nov/2010,273452.94
dic/2010,320807.17
ene/2011,285089.04
feb/2011,269301.38
mar/2011,281453.75
abr/2011,285598.37
may/2011,253277.88
jun/2011,290137.49
jul/2011,279283.36
ago/2011,256380.27
sep/2011,256728.25
oct/2011,242071.01
nov/2011,231413.83
dic/2011,291678.03
ene/2012,261933.68
feb/2012,253733.22
mar/2012,290286.65
abr/2012,262615.28
may/2012,235374.04
jun/2012,261012.58
jul/2012,233061.35
ago/2012,259165.94
sep/2012,228205.77
oct/2012,261347.22
nov/2012,272657.82
dic/2012,310407.04
ene/2013,287985.59
feb/2013,259659.66
mar/2013,313075.45
abr/2013,330070.65
may/2013,313131.36
jun/2013,287596.64
jul/2013,314185.61
ago/2013,288400.67
sep/2013,249357.42
oct/2013,314518.72
nov/2013,306638.45
dic/2013,339969.85
ene/2014,312139.77
feb/2014,312142.65
mar/2014,335869.63
abr/2014,349155.3
may/2014,332737.37
jun/2014,303016.82
jul/2014,344659.64
ago/2014,326356.06
sep/2014,371327.13
